Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
5,5,1995-05-08,33-360,SAS,LAL,W (+7),1,37:00,10,13,.769,0,0,,2,4,.500,6,16,22,1,0,0,1,6,22,22.4
6,6,1995-05-12,33-364,SAS,LAL,L (-7),1,29:00,1,2,.500,0,0,,1,4,.250,5,7,12,3,1,0,4,3,3,4.3
7,7,1995-05-16,34-003,SAS,LAL,L (-2),0,35:00,5,9,.556,0,0,,1,1,1.000,3,12,15,0,0,0,2,5,11,8.4
8,8,1995-05-18,34-005,SAS,LAL,W (+12),1,32:00,6,8,.750,0,0,,0,0,,6,10,16,5,0,0,2,5,12,15.5
9,9,1995-05-22,34-009,SAS,HOU,L (-1),1,38:00,1,7,.143,0,1,.000,2,4,.500,5,15,20,2,3,0,4,2,4,6.3
10,10,1995-05-24,34-011,SAS,HOU,L (-10),1,17:00,2,6,.333,0,3,.000,0,0,,0,8,8,1,1,0,0,1,4,4.3
11,11,1995-05-26,34-013,SAS,HOU,W (+5),1,37:00,0,3,.000,0,0,,1,2,.500,5,9,14,0,1,0,1,2,1,3.9
12,12,1995-05-28,34-015,SAS,HOU,W (+22),1,37:00,5,10,.500,0,1,.000,2,2,1.000,12,7,19,0,2,0,3,4,12,14.9
13,13,1995-05-30,34-017,SAS,HOU,L (-21),0,34:00,1,2,.500,0,0,,3,4,.750,2,10,12,1,2,0,2,3,5,7.5
14,14,1995-06-01,34-019,SAS,HOU,L (-5),1,38:00,7,9,.778,0,0,,0,0,,7,10,17,1,1,0,2,5,14,16.1
