Date,Sep,Opp,Result,TeamScore,OpponentScore
2000-10-31,,LAL,L,86,96
2000-11-02,@,PHO,L,82,108
2000-11-04,@,SEA,W,97,90
2000-11-06,@,SAC,L,75,79
2000-11-07,,ATL,W,97,88
2000-11-09,,DEN,W,107,91
2000-11-11,,HOU,W,111,88
2000-11-13,@,NJN,W,94,82
2000-11-14,@,ATL,L,97,99
2000-11-16,@,TOR,W,86,80
2000-11-18,@,MIA,L,80,86
2000-11-19,@,ORL,W,110,102
2000-11-21,@,WAS,W,104,94
2000-11-22,@,MIL,W,93,84
2000-11-25,,NJN,W,86,84
2000-11-28,,SEA,L,93,105
2000-11-30,,DAL,W,95,84
2000-12-02,@,HOU,W,96,85
2000-12-03,@,PHO,L,79,84
2000-12-06,,TOR,W,95,88
2000-12-08,,PHI,L,94,107
2000-12-09,,DET,W,114,83
2000-12-12,@,GSW,W,101,93
2000-12-13,,LAL,W,96,86
2000-12-15,,ORL,W,106,96
2000-12-20,@,DAL,L,101,106
2000-12-22,@,DEN,L,96,116
2000-12-23,,WAS,W,87,70
2000-12-25,@,LAL,W,109,104
2000-12-28,@,UTA,W,103,102
2000-12-29,,VAN,W,104,81
2001-01-01,,CHH,W,89,67
2001-01-03,,IND,W,102,86
2001-01-05,,MIL,W,119,115
2001-01-08,@,BOS,W,98,90
2001-01-10,@,PHI,W,93,75
2001-01-11,@,CHH,W,83,70
2001-01-13,@,NYK,L,78,91
2001-01-14,@,DET,W,103,96
2001-01-16,,CLE,W,103,83
2001-01-18,,MIA,W,85,74
2001-01-20,,SAC,L,101,111
2001-01-22,@,CLE,L,58,84
2001-01-23,@,CHI,W,104,100
2001-01-25,@,IND,W,92,82
2001-01-27,@,MIN,L,80,93
2001-01-30,,CHI,W,92,81
2001-02-01,,PHO,W,100,92
2001-02-03,@,LAC,L,89,90
2001-02-07,,SEA,W,97,80
2001-02-13,,MIN,W,109,88
2001-02-15,,SAC,W,105,81
2001-02-17,,BOS,L,81,85
2001-02-20,,DEN,W,104,94
2001-02-22,,UTA,L,84,90
2001-02-24,@,LAC,L,120,123
2001-02-26,@,HOU,W,95,89
2001-02-27,@,SAS,W,95,87
2001-03-01,,LAC,W,94,81
2001-03-03,,GSW,W,122,91
2001-03-06,,VAN,L,97,105
2001-03-08,,SAS,L,79,93
2001-03-09,@,VAN,L,85,95
2001-03-13,@,SEA,L,90,99
2001-03-14,,PHO,L,79,84
2001-03-16,,UTA,W,90,87
2001-03-19,@,SAS,L,85,98
2001-03-20,@,DAL,W,96,88
2001-03-22,@,UTA,W,101,99
2001-03-26,,LAC,W,104,96
2001-03-28,,DAL,L,84,94
2001-03-30,,NYK,W,96,79
2001-04-01,,MIN,L,95,99
2001-04-03,@,DEN,L,92,94
2001-04-04,@,MIN,L,79,83
2001-04-06,@,GSW,W,122,91
2001-04-08,@,SAC,L,89,98
2001-04-10,,GSW,W,116,88
2001-04-12,@,VAN,W,100,87
2001-04-13,,HOU,L,103,109
2001-04-15,@,LAL,L,100,105
2001-04-17,,SAS,L,93,99
2001-10-30,@,LAL,L,87,98
2001-10-31,,GSW,W,92,87
2001-11-03,,SAS,L,90,106
2001-11-04,@,GSW,L,86,96
2001-11-06,,UTA,W,101,83
2001-11-08,,LAC,W,119,101
2001-11-10,@,IND,L,96,105
2001-11-11,@,DET,W,100,98
2001-11-13,@,NYK,L,82,89
2001-11-15,@,MEM,W,101,85
2001-11-17,@,CHH,W,97,87
2001-11-20,,HOU,L,87,94
2001-11-21,@,SAC,L,83,95
2001-11-23,,DEN,W,97,90
2001-11-27,,IND,W,96,90
2001-11-30,,MIL,W,101,95
2001-12-01,,PHO,L,83,97
2001-12-06,,CHH,L,89,95
2001-12-08,,SEA,W,113,92
2001-12-11,@,DAL,L,103,105
2001-12-14,@,UTA,L,85,93
2001-12-15,,ORL,W,117,106
2001-12-18,@,HOU,W,101,92
2001-12-19,@,SAS,L,79,97
2001-12-21,,DET,W,83,81
2001-12-22,@,PHO,L,90,102
2001-12-26,@,SAC,L,74,89
2001-12-27,,UTA,L,87,99
2001-12-30,,MIN,L,93,95
2002-01-01,@,LAC,L,97,112
2002-01-02,,TOR,L,84,95
2002-01-05,,PHI,W,96,88
2002-01-07,@,CLE,W,98,72
2002-01-08,@,ATL,L,92,101
2002-01-10,@,MIA,W,92,85
2002-01-11,@,ORL,W,92,84
2002-01-13,,CLE,W,96,64
2002-01-16,@,PHO,W,108,99
2002-01-17,,MIA,L,90,92
2002-01-19,,LAC,W,113,93
2002-01-22,,SAC,W,116,110
2002-01-24,,MEM,W,120,82
2002-01-29,@,SEA,W,92,86
2002-01-31,,PHO,W,105,97
2002-02-02,@,UTA,L,96,97
2002-02-03,,CHI,W,101,96
2002-02-05,@,DEN,L,96,97
2002-02-06,@,MIN,L,103,113
2002-02-13,,DAL,W,114,103
2002-02-15,,BOS,L,104,107
2002-02-17,,LAL,W,111,105
2002-02-18,@,LAC,W,80,79
2002-02-20,@,SEA,W,90,84
2002-02-21,,ATL,W,94,79
2002-02-23,,DEN,W,101,90
2002-02-25,@,PHI,W,88,83
2002-02-27,@,WAS,W,105,101
2002-03-01,@,TOR,W,91,81
2002-03-02,@,MIL,W,104,103
2002-03-04,,SAC,W,107,95
2002-03-06,,MIN,W,85,78
2002-03-08,,NJN,W,82,73
2002-03-09,@,DEN,L,106,109
2002-03-14,,DAL,W,132,106
2002-03-16,,WAS,W,95,80
2002-03-18,@,BOS,W,100,91
2002-03-20,@,NJN,L,82,97
2002-03-22,@,CHI,W,109,93
2002-03-23,@,MIN,W,108,99
2002-03-25,,MEM,L,100,103
2002-03-27,,SAS,W,98,93
2002-03-29,@,LAL,L,79,91
2002-03-30,,SEA,L,87,92
2002-04-02,@,GSW,L,91,107
2002-04-04,,NYK,W,88,80
2002-04-06,,GSW,W,113,86
2002-04-08,@,SAS,L,87,99
2002-04-09,@,DAL,L,96,108
2002-04-11,@,MEM,L,99,102
2002-04-12,@,HOU,W,80,79
2002-04-14,,LAL,W,128,120
2002-04-17,,HOU,W,92,79
2002-10-30,,LAL,W,102,90
2002-10-31,@,SAC,L,72,100
2002-11-02,,DEN,L,79,96
2002-11-03,@,LAL,L,95,98
2002-11-06,,MEM,W,94,88
2002-11-08,@,PHO,L,75,86
2002-11-09,@,SAS,W,95,76
2002-11-11,@,DAL,L,73,82
2002-11-12,@,HOU,L,83,86
2002-11-15,,LAC,W,112,88
2002-11-20,,ORL,W,98,84
2002-11-21,@,SEA,W,89,85
2002-11-23,,SAC,L,94,95
2002-11-26,,HOU,W,77,71
2002-11-30,,NJN,L,86,93
2002-12-04,,DAL,L,88,103
2002-12-06,,MIA,W,88,69
2002-12-08,@,TOR,W,104,91
2002-12-10,@,WAS,W,98,79
2002-12-11,@,NJN,L,104,105
2002-12-13,@,MIL,L,79,101
2002-12-14,@,MIN,W,98,92
2002-12-17,,NOH,W,102,93
2002-12-18,@,LAC,W,97,93
2002-12-20,@,GSW,W,113,111
2002-12-21,,SEA,W,81,80
2002-12-27,,UTA,W,103,98
2002-12-28,@,SAC,W,119,113
2002-12-30,@,DET,W,85,74
2002-12-31,@,CHI,L,87,102
2003-01-03,@,BOS,W,108,103
2003-01-05,@,NYK,W,92,89
2003-01-07,,PHO,L,81,88
2003-01-09,,SAS,W,90,87
2003-01-10,@,DEN,L,81,82
2003-01-13,,CLE,W,118,94
2003-01-15,,MEM,W,100,92
2003-01-18,,MIN,L,98,104
2003-01-20,@,MEM,W,99,87
2003-01-22,@,ATL,W,112,110
2003-01-24,@,NOH,W,97,96
2003-01-26,@,DAL,W,100,93
2003-01-28,,DEN,W,98,92
2003-01-29,@,UTA,L,71,95
2003-01-31,,CHI,W,107,94
2003-02-02,@,CLE,W,114,95
2003-02-04,@,ORL,W,96,89
2003-02-05,@,MIA,W,101,87
2003-02-11,,SAS,L,111,116
2003-02-13,,BOS,L,92,100
2003-02-15,,SEA,W,101,96
2003-02-17,,NYK,W,99,91
2003-02-19,,GSW,W,125,98
2003-02-21,@,LAL,L,84,92
2003-02-22,,MIL,L,90,93
2003-02-25,,ATL,W,89,86
2003-02-26,@,DEN,W,94,84
2003-02-28,,LAC,W,109,103
2003-03-02,,DET,W,103,86
2003-03-05,@,PHO,L,92,98
2003-03-06,,PHI,L,60,88
2003-03-08,,IND,W,94,80
2003-03-11,@,SEA,W,92,77
2003-03-12,,TOR,W,125,103
2003-03-14,@,PHI,L,79,90
2003-03-16,@,MIN,L,95,111
2003-03-17,@,IND,W,95,88
2003-03-19,,HOU,W,94,83
2003-03-22,,SAC,L,104,113
2003-03-25,,WAS,L,91,95
2003-03-26,@,UTA,L,85,94
2003-03-28,,DAL,W,112,95
2003-04-01,,GSW,W,100,86
2003-04-03,,UTA,L,88,93
2003-04-04,@,GSW,W,122,100
2003-04-06,,MIN,L,78,97
2003-04-08,@,HOU,W,81,66
2003-04-09,@,SAS,L,79,84
2003-04-11,@,MEM,L,93,96
2003-04-13,,LAL,W,101,99
2003-04-15,,PHO,W,120,102
2003-04-16,@,LAC,L,93,107
2003-10-29,@,UTA,L,92,99
2003-11-01,,CLE,W,104,85
2003-11-03,,PHI,L,83,94
2003-11-05,,MEM,W,93,87
2003-11-07,@,SEA,L,82,100
2003-11-08,,ATL,W,90,83
2003-11-11,,TOR,W,83,80
2003-11-13,,SAC,W,112,110
2003-11-15,@,NOH,L,79,101
2003-11-17,@,DAL,L,98,105
2003-11-19,,MIA,W,94,93
2003-11-21,,HOU,W,85,78
2003-11-23,@,GSW,L,72,78
2003-11-25,,WAS,L,80,81
2003-11-28,,NJN,W,97,93
2003-12-03,,IND,W,97,95
2003-12-05,,NYK,W,88,81
2003-12-07,@,MEM,L,79,93
2003-12-09,@,HOU,L,91,93
2003-12-10,@,SAS,L,77,102
2003-12-13,,LAL,W,112,108
2003-12-16,,MIL,L,99,106
2003-12-18,,PHO,W,101,94
2003-12-20,,SAS,L,91,101
2003-12-21,@,SAC,L,98,117
2003-12-23,,DAL,W,97,88
2003-12-26,,MIN,W,101,92
2003-12-28,@,CLE,L,74,86
2003-12-29,@,NJN,W,91,87
2003-12-31,@,DET,L,71,78
2004-01-02,,DEN,L,96,106
2004-01-05,@,SEA,L,108,119
2004-01-08,@,MIN,L,75,96
2004-01-09,@,CHI,W,87,78
2004-01-11,@,TOR,L,72,83
2004-01-13,@,LAC,L,96,103
2004-01-15,,PHO,L,96,105
2004-01-17,,DAL,L,104,108
2004-01-18,@,PHO,L,92,96
2004-01-20,@,SAC,W,109,104
2004-01-24,,GSW,L,87,105
2004-01-26,@,WAS,W,94,83
2004-01-28,@,MEM,W,88,76
2004-01-29,@,ATL,W,93,85
2004-01-31,,CHI,W,102,95
2004-02-02,@,DEN,L,97,116
2004-02-04,@,PHO,W,101,97
2004-02-06,@,UTA,W,87,73
2004-02-08,,SEA,W,95,85
2004-02-10,,UTA,L,81,86
2004-02-12,,DEN,L,98,107
2004-02-17,@,LAL,L,86,89
2004-02-18,,LAC,W,101,86
2004-02-20,@,GSW,W,94,93
2004-02-21,,BOS,W,105,84
2004-02-23,@,MIA,W,89,81
2004-02-24,@,ORL,W,94,91
2004-02-27,@,HOU,L,85,89
2004-02-28,@,DAL,L,91,111
2004-03-03,,MEM,L,88,97
2004-03-04,,DET,L,68,83
2004-03-06,,UTA,W,91,70
2004-03-07,@,LAC,L,71,91
2004-03-10,,MIN,W,92,79
2004-03-12,,SAC,W,83,81
2004-03-14,@,MIN,W,92,83
2004-03-16,@,MIL,W,100,99
2004-03-17,@,IND,L,71,80
2004-03-20,,ORL,W,92,73
2004-03-22,,HOU,L,85,93
2004-03-24,,LAC,W,91,85
2004-03-27,,SEA,W,115,108
2004-03-29,@,NYK,L,91,92
2004-03-31,@,BOS,W,105,98
2004-04-01,@,PHI,W,88,82
2004-04-03,,NOH,L,81,94
2004-04-06,@,LAL,W,91,80
2004-04-07,,GSW,W,87,81
2004-04-09,@,SAS,L,74,84
2004-04-10,@,DEN,L,100,110
2004-04-12,,SAS,L,66,78
2004-04-14,,LAL,L,104,105
2004-11-03,@,GSW,W,78,75
2004-11-05,,LAC,W,94,81
2004-11-07,@,TOR,L,97,101
2004-11-09,@,NJN,L,60,64
2004-11-10,@,BOS,L,88,90
2004-11-13,,TOR,W,105,102
2004-11-17,,MEM,L,82,101
2004-11-19,,MIL,W,110,98
2004-11-21,,HOU,L,93,97
2004-11-23,@,MIA,W,99,87
2004-11-24,@,ORL,W,89,83
2004-11-26,@,DAL,L,83,92
2004-11-28,,NJN,W,83,71
2004-11-30,,SEA,W,100,94
2004-12-04,@,SEA,L,89,99
2004-12-05,,PHO,L,99,121
2004-12-09,,BOS,W,89,87
2004-12-10,@,UTA,L,87,92
2004-12-12,,UTA,W,98,88
2004-12-14,@,MIN,L,89,100
2004-12-15,@,CLE,L,88,112
2004-12-17,@,ATL,W,100,84
2004-12-18,@,DET,W,75,74
2004-12-20,@,CHI,L,87,92
2004-12-22,@,MIL,W,104,95
2004-12-27,,PHI,L,104,111
2004-12-30,,SAS,L,80,114
2005-01-01,,GSW,W,97,88
2005-01-02,@,PHO,L,98,117
2005-01-05,@,LAC,L,98,102
2005-01-07,,MIA,L,92,103
2005-01-09,@,NYK,L,105,113
2005-01-10,@,PHI,W,109,100
2005-01-12,@,WAS,L,100,104
2005-01-14,@,NOH,L,106,112
2005-01-15,@,MIN,L,84,92
2005-01-18,@,SAC,L,107,113
2005-01-19,,CLE,L,101,107
2005-01-22,,MIN,L,83,92
2005-01-24,,SAS,W,107,99
2005-01-26,,DAL,L,88,95
2005-01-28,,LAC,W,90,86
2005-02-01,@,LAL,L,79,92
2005-02-02,,DEN,W,97,94
2005-02-04,,CHA,W,101,89
2005-02-05,,SAC,W,114,108
2005-02-09,,NOH,L,80,91
2005-02-11,@,MEM,L,82,88
2005-02-13,@,HOU,L,80,81
2005-02-14,@,CHA,W,80,77
2005-02-16,@,IND,L,87,95
2005-02-23,,LAL,L,83,86
2005-02-25,,ATL,W,102,101
2005-02-27,,MIN,L,83,91
2005-03-01,,DET,L,93,103
2005-03-04,,IND,L,97,106
2005-03-05,@,PHO,L,116,129
2005-03-07,@,DEN,L,98,111
2005-03-09,,CHI,L,84,97
2005-03-12,,MEM,W,80,66
2005-03-14,@,MEM,L,83,104
2005-03-16,@,HOU,L,77,108
2005-03-17,@,DAL,L,94,98
2005-03-19,,ORL,L,92,97
2005-03-21,@,LAC,L,89,96
2005-03-22,@,SAC,L,93,112
2005-03-24,,SEA,L,91,96
2005-03-26,,NYK,W,103,96
2005-03-28,,WAS,L,106,114
2005-03-30,,HOU,L,84,100
2005-04-01,@,SEA,L,87,89
2005-04-02,,DEN,L,97,103
2005-04-05,@,UTA,L,79,90
2005-04-06,,GSW,L,102,104
2005-04-08,,SAC,L,115,119
2005-04-10,@,NOH,W,90,81
2005-04-12,@,SAS,L,89,95
2005-04-14,,DAL,L,90,102
2005-04-15,@,GSW,L,88,108
2005-04-17,,UTA,W,100,82
2005-04-19,@,DEN,L,115,119
2005-04-20,,LAL,W,106,103
2005-11-02,@,MIN,L,86,90
2005-11-04,@,DEN,L,68,107
2005-11-05,,ATL,W,94,93
2005-11-09,,NYK,W,95,83
2005-11-11,,DET,L,81,84
2005-11-16,,CHI,W,96,93
2005-11-18,,GSW,L,80,91
2005-11-20,@,NYK,L,92,103
2005-11-22,@,MEM,W,95,87
2005-11-23,@,MIA,L,79,100
2005-11-25,@,ORL,L,89,104
2005-11-27,@,ATL,W,77,75
2005-11-29,@,PHI,L,83,107
2005-11-30,@,WAS,L,89,96
2005-12-02,,IND,L,78,98
2005-12-04,,UTA,L,93,98
2005-12-06,@,PHO,L,85,130
2005-12-07,,MIN,L,74,84
2005-12-09,,NOK,W,98,95
2005-12-11,,HOU,L,86,100
2005-12-14,@,UTA,L,77,82
2005-12-16,,SEA,L,99,111
2005-12-18,,WAS,W,97,92
2005-12-20,@,DET,L,89,93
2005-12-21,@,MEM,L,79,89
2005-12-23,@,MIN,W,91,83
2005-12-26,@,SAC,W,105,92
2005-12-28,,PHI,W,95,91
2005-12-30,,MEM,L,90,93
2006-01-01,,LAC,L,94,100
2006-01-03,@,DAL,L,81,95
2006-01-04,@,SAS,L,75,106
2006-01-06,@,NOK,L,80,90
2006-01-08,,MIA,L,89,118
2006-01-11,,LAL,W,113,103
2006-01-13,,ORL,W,113,108
2006-01-15,,CLE,W,89,87
2006-01-18,,TOR,W,96,94
2006-01-22,,DAL,L,89,95
2006-01-25,,DEN,L,94,97
2006-01-27,,NJN,W,88,83
2006-01-28,@,GSW,L,83,98
2006-01-30,@,SEA,W,116,111
2006-02-01,,SAS,L,82,86
2006-02-03,,MIN,W,89,85
2006-02-04,@,DEN,L,104,105
2006-02-08,@,IND,L,69,101
2006-02-10,@,BOS,L,83,115
2006-02-12,@,TOR,L,81,114
2006-02-13,@,CHA,W,91,83
2006-02-15,@,NOK,L,86,102
2006-02-21,@,LAL,L,82,99
2006-02-22,,CHA,L,106,110
2006-02-24,,BOS,L,96,102
2006-02-26,,NOK,L,75,88
2006-02-27,@,SAC,L,91,115
2006-03-01,,LAL,W,99,93
2006-03-04,@,SAS,L,81,101
2006-03-05,@,HOU,L,84,102
2006-03-07,@,DAL,L,87,93
2006-03-09,,DAL,L,92,109
2006-03-12,,PHO,W,111,101
2006-03-14,@,CHI,L,66,95
2006-03-15,@,NJN,L,65,78
2006-03-17,@,CLE,L,84,99
2006-03-18,@,MIL,L,93,97
2006-03-20,,MIL,L,93,100
2006-03-23,@,PHO,L,108,125
2006-03-24,,SAS,L,79,98
2006-03-26,,LAC,L,83,97
2006-03-29,,SAC,L,90,106
2006-04-01,,UTA,L,89,102
2006-04-02,@,SEA,L,83,122
2006-04-05,,HOU,W,76,75
2006-04-07,,SEA,L,108,121
2006-04-08,@,UTA,L,93,110
2006-04-10,,DEN,L,98,110
2006-04-12,@,LAC,L,93,97
2006-04-14,@,LAL,L,99,110
2006-04-15,,GSW,L,81,86
2006-04-17,@,GSW,L,79,93
2006-04-19,,PHO,L,96,106
