Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
56,56,1996-04-07,34-330,CHI,ORL,W (+4),0,33:00,1,2,.500,0,0,,1,2,.500,5,8,13,0,1,2,2,3,3,6.7
57,57,1996-04-08,34-331,CHI,CHH,L (-1),0,30:00,1,5,.200,0,0,,0,4,.000,9,8,17,1,0,0,2,4,2,3.1
58,58,1996-04-11,34-334,CHI,NJN,W (+13),1,30:00,3,3,1.000,0,0,,0,1,.000,4,8,12,1,2,2,1,3,6,11.8
59,59,1996-04-12,34-335,CHI,PHI,W (+30),1,37:00,4,7,.571,0,2,.000,2,2,1.000,6,10,16,4,0,1,2,2,10,14.6
60,60,1996-04-14,34-337,CHI,CLE,W (+26),0,26:00,0,1,.000,0,0,,3,4,.750,2,4,6,2,0,0,2,3,3,2.7
61,61,1996-04-16,34-339,CHI,MIL,W (+6),0,41:00,3,6,.500,0,0,,1,4,.250,7,12,19,4,0,0,1,3,7,11.9
62,62,1996-04-18,34-341,CHI,DET,W (+31),1,22:00,3,6,.500,0,1,.000,3,4,.750,6,12,18,3,0,1,2,4,9,12.6
63,63,1996-04-20,34-343,CHI,IND,L (-1),1,26:00,3,4,.750,0,0,,0,0,,7,8,15,3,0,0,4,3,6,8.6
64,64,1996-04-21,34-344,CHI,WSB,W (+10),1,24:00,2,2,1.000,0,0,,2,2,1.000,1,10,11,1,0,0,1,4,6,7.2
1,1,1996-04-26,34-349,CHI,MIA,W (+17),0,27:00,1,3,.333,0,0,,1,2,.500,5,5,10,1,0,0,2,4,3,3.0
2,2,1996-04-28,34-351,CHI,MIA,W (+31),0,14:00,0,1,.000,0,0,,2,4,.500,0,5,5,2,0,0,2,4,2,-0.2
3,3,1996-05-01,34-354,CHI,MIA,W (+21),0,18:00,3,4,.750,0,0,,0,0,,2,1,3,3,0,0,0,4,6,6.6
4,4,1996-05-05,34-358,CHI,NYK,W (+7),1,33:00,0,3,.000,0,0,,3,4,.750,3,9,12,2,1,0,3,4,3,3.1
5,5,1996-05-07,34-360,CHI,NYK,W (+11),1,31:00,3,4,.750,0,0,,0,0,,5,14,19,1,0,2,5,4,6,7.6
6,6,1996-05-11,34-364,CHI,NYK,L (-3),1,52:00,2,4,.500,0,0,,3,3,1.000,2,14,16,3,3,1,3,4,7,11.8
7,7,1996-05-12,34-365,CHI,NYK,W (+3),1,41:00,3,10,.300,0,0,,0,2,.000,10,9,19,3,2,1,6,5,6,5.9
8,8,1996-05-14,35-001,CHI,NYK,W (+13),1,31:00,5,9,.556,0,0,,1,2,.500,4,8,12,3,0,0,1,6,11,10.2
9,9,1996-05-19,35-006,CHI,ORL,W (+38),1,32:00,6,10,.600,0,0,,1,1,1.000,7,14,21,1,0,1,3,4,13,14.3
10,10,1996-05-21,35-008,CHI,ORL,W (+5),1,35:00,6,8,.750,0,0,,3,6,.500,6,6,12,1,2,0,0,2,15,18.5
11,11,1996-05-25,35-012,CHI,ORL,W (+19),1,40:00,2,6,.333,0,0,,5,8,.625,6,10,16,0,0,1,4,4,9,6.7
12,12,1996-05-27,35-014,CHI,ORL,W (+5),1,41:00,2,6,.333,0,0,,5,8,.625,7,7,14,2,1,1,1,3,9,12.3
13,13,1996-06-05,35-023,CHI,SEA,W (+17),1,36:00,3,6,.500,0,0,,1,2,.500,3,10,13,2,1,0,2,5,7,7.1
14,14,1996-06-07,35-025,CHI,SEA,W (+4),1,42:00,3,6,.500,0,0,,4,6,.667,11,9,20,0,0,0,4,4,10,11.0
15,15,1996-06-09,35-027,CHI,SEA,W (+22),1,31:00,1,3,.333,0,0,,3,6,.500,3,7,10,2,1,0,2,5,5,4.7
16,16,1996-06-12,35-030,CHI,SEA,L (-21),1,41:00,4,6,.667,0,0,,0,0,,8,6,14,4,0,0,1,5,8,12.6
17,17,1996-06-14,35-032,CHI,SEA,L (-11),1,37:00,2,5,.400,0,0,,2,2,1.000,5,7,12,2,0,0,2,5,6,6.3
18,18,1996-06-16,35-034,CHI,SEA,W (+12),1,38:00,4,9,.444,0,0,,1,3,.333,11,8,19,5,3,1,0,4,9,19.2
