Rk,G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
57,57,2002-03-01,IND,W,96,84,36,73,.493,4,12,.333,20,29,.690,1,42,25,10,12,20,25
58,58,2002-03-03,HOU,W,95,79,40,91,.440,4,16,.250,11,20,.550,23,58,21,9,4,14,21
59,59,2002-03-05,NJN,W,101,92,34,71,.479,8,15,.533,25,43,.581,11,50,21,4,5,14,23
60,60,2002-03-06,UTA,L,84,92,32,75,.427,4,18,.222,16,25,.640,16,44,17,7,7,22,28
61,61,2002-03-10,NYK,W,117,103,46,87,.529,7,21,.333,18,27,.667,13,41,23,6,9,7,25
62,62,2002-03-12,CHH,W,107,66,42,92,.457,4,11,.364,19,25,.760,16,52,24,13,8,9,19
63,63,2002-03-14,GSW,W,110,102,37,84,.440,4,13,.308,32,48,.667,16,55,20,10,8,17,26
64,64,2002-03-15,LAC,W,98,92,35,78,.449,5,9,.556,23,34,.676,13,39,21,12,5,8,21
65,65,2002-03-17,DAL,W,105,103,41,84,.488,8,23,.348,15,22,.682,7,44,30,5,5,8,17
66,66,2002-03-19,DAL,L,98,114,36,82,.439,3,12,.250,23,32,.719,11,45,18,5,1,10,30
67,67,2002-03-20,SAS,L,90,108,31,77,.403,6,18,.333,22,31,.710,9,39,16,10,9,20,32
68,68,2002-03-22,DET,W,94,82,38,78,.487,4,21,.190,14,21,.667,11,47,25,12,2,20,28
69,69,2002-03-24,SAC,W,97,96,41,81,.506,5,16,.313,10,15,.667,7,36,26,10,2,18,22
70,70,2002-03-26,CLE,W,121,116,43,78,.551,9,26,.346,26,35,.743,11,38,27,2,4,14,25
71,71,2002-03-27,PHO,L,106,118,38,83,.458,6,16,.375,24,37,.649,17,38,21,4,4,12,26
72,72,2002-03-29,POR,W,91,79,34,81,.420,2,9,.222,21,28,.750,13,55,22,5,7,12,17
73,73,2002-03-31,SAS,W,96,95,34,80,.425,4,12,.333,24,28,.857,13,43,18,6,10,13,22
74,74,2002-04-02,WAS,W,113,93,42,82,.512,10,18,.556,19,23,.826,11,45,28,7,4,14,17
75,75,2002-04-03,NJN,L,92,94,36,86,.419,9,25,.360,11,15,.733,16,37,14,7,5,10,18
76,76,2002-04-05,BOS,L,81,99,28,82,.341,3,19,.158,22,25,.880,8,41,11,8,7,13,21
77,77,2002-04-07,MIA,W,96,88,37,75,.493,4,13,.308,18,27,.667,9,43,23,3,8,8,17
78,78,2002-04-09,UTA,W,112,82,42,76,.553,5,13,.385,23,26,.885,7,47,29,8,11,14,28
79,79,2002-04-11,MIN,W,96,83,35,77,.455,4,16,.250,22,26,.846,7,45,15,5,3,9,25
80,80,2002-04-14,POR,L,120,128,39,87,.448,11,23,.478,31,40,.775,8,45,27,7,2,19,32
81,81,2002-04-15,SEA,W,111,104,41,80,.513,5,14,.357,24,30,.800,9,41,25,6,2,10,24
82,82,2002-04-17,SAC,W,109,95,44,101,.436,8,24,.333,13,16,.813,15,50,22,12,2,9,23
1,1,2002-04-21,POR,W,95,87,32,75,.427,8,20,.400,23,32,.719,10,41,20,8,7,9,23
2,2,2002-04-25,POR,W,103,96,34,78,.436,5,19,.263,30,36,.833,12,48,17,8,6,14,26
3,3,2002-04-28,POR,W,92,91,32,70,.457,8,20,.400,20,31,.645,6,37,23,12,6,16,24
